s	external_id	project	continental_pop	subpop	gvcf	cram	crai	realign_cram	realign_crai	batch	operation	flowcell_lane	library_id	platform	centre	r_contamination	r_chimera	r_duplication	median_insert_size	fam_id	mat_id	sex	original_gvcf	pat_id
HG00405	HG00405	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00405.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH001	HG00404	2	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00405/analysis/HG00405.haplotypeCalls.er.raw.vcf.gz	HG00403
HG00408	HG00408	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00408.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH002	HG00407	2	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00408/analysis/HG00408.haplotypeCalls.er.raw.vcf.gz	HG00406
HG00418	HG00418	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00418.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH006	0	1	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00418/analysis/HG00418.haplotypeCalls.er.raw.vcf.gz	0
HG00420	HG00420	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00420.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH006	HG00419	1	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00420/analysis/HG00420.haplotypeCalls.er.raw.vcf.gz	HG00418
HG00423	HG00423	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00423.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH007	HG00422	2	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00423/analysis/HG00423.haplotypeCalls.er.raw.vcf.gz	HG00421
HG00427	HG00427	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00427.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH009	0	1	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00427/analysis/HG00427.haplotypeCalls.er.raw.vcf.gz	0
HG00429	HG00429	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00429.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH009	HG00428	1	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00429/analysis/HG00429.haplotypeCalls.er.raw.vcf.gz	HG00427
HG00438	HG00438	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00438.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH012	HG00437	2	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00438/analysis/HG00438.haplotypeCalls.er.raw.vcf.gz	HG00436
HG00444	HG00444	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00444.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH014	HG00443	1	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00444/analysis/HG00444.haplotypeCalls.er.raw.vcf.gz	HG00442
HG00447	HG00447	thousand-genomes	chs	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG00447.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	SH015	HG00446	2	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG00447/analysis/HG00447.haplotypeCalls.er.raw.vcf.gz	HG00445
